0 CF FF FF 5A 5F FF FF                  CD: 70 track: 0   min: 0 sek: A5
D7 FF BC B4 BA FE FF FF                  CD: 40 track: 43   min: 4B sek: 45
B4 FF BC FE FF FF 6F BC                  CD: 40 track: 43   min: 1 sek: 0
BA FE FF FF FF 6F BC B4                  CD: 41 track: 0   min: 0 sek: 0
B4 BA FE FF B4 75 FF BC                  CD: 5 track: 1   min: 0 sek: 4B
B4 2E EC CE AD DC FF BC                  CD: 91 track: 13   min: 31 sek: 52
B4 6D 0 FF FF FF BA FF                  CD: D2 track: FF   min: 0 sek: 0
B4 FF FF FF 6F BC FF BC                  CD: 40 track: 0   min: 0 sek: 90
FF BC B4 BA FE FF FF FF                  CD: 3 track: 4B   min: 45 sek: 1
B4 E6 FF BA FF FF 6F BC                  CD: 59 track: 0   min: 45 sek: 0
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 29 0 FF FF FF FF BC                  CD: 96 track: FF   min: 0 sek: 0
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 2E EC CE AD DC FF B4                  CD: 91 track: 13   min: 31 sek: 52
B4 FF 6F BC FF FF FF BC                  CD: 40 track: 90   min: 43 sek: 0
FF FF FF BC B4 BA FE FF                  CD: 40 track: 0   min: 43 sek: 4B
B4 E8 DF FE FF FF 6F BC                  CD: 57 track: 20   min: 1 sek: 0
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 29 0 FF FF FF FF BC                  CD: 96 track: FF   min: 0 sek: 0
B4 FF FF 2E AD DC FF BC                  CD: 40 track: 0   min: D1 sek: 52
B4 2E EC CE AD DC FF BC                  CD: 91 track: 13   min: 31 sek: 52
B4 6D 0 FF BA FF 6F BC                  CD: D2 track: FF   min: 0 sek: 45
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 2B E6 6E 87 D7 FF BC                  CD: 94 track: 19   min: 91 sek: 78
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 FE 6F B4 FF FF FF BC                  CD: 41 track: 90   min: 4B sek: 0
B4 29 0 FF FF FF FF BC                  CD: 96 track: FF   min: 0 sek: 0
B4 2E EC CE FF FE FF BC                  CD: 91 track: 13   min: 31 sek: 0
B4 BA FE FF FF FF 6F BC                  CD: 5 track: 1   min: 0 sek: 0
9A 5D 7F 7F FF FF B7 B4                  CD: E2 track: 80   min: 80 sek: 0
B4 98 BC FF FF FF 6F BC                  CD: 27 track: 43   min: 0 sek: 0
FF FF FF 6F BC B4 2B E6                  CD: 40 track: 0   min: 90 sek: 43
B4 FE FF B4 FF FF FF BC                  CD: 41 track: 0   min: 4B sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 29 0 FF FF BC FE 6F                  CD: 96 track: FF   min: 0 sek: 0
